id,NC_mice,NC_rats,MC_mice,MC_rats
365,15.13001,4.834324,14.230937,4.231228
366,15.127126,4.833099,14.230707,4.231064
367,15.124899,4.832953,14.230701,4.23041
368,15.122569,4.83288,14.23068,4.230044
369,15.12077,4.83287,14.22937,4.229519
370,15.12007,4.832253,14.228503,4.22942
371,15.115474,4.832116,14.227847,4.228246
372,15.110086,4.831964,14.22738,4.227005
373,15.109761,4.831878,14.226465,4.226253
374,15.109047,4.830536,14.226319,4.225425
375,15.107592,4.830487,14.225785,4.225169
376,15.102922,4.829939,14.225367,4.225011
377,15.102168,4.829477,14.222785,4.224826
378,15.100195,4.829439,14.219333,4.224618
379,15.096233,4.829273,14.21769,4.224374
380,15.092082,4.828715,14.217683,4.22391
381,15.088211,4.828625,14.217043,4.223889
382,15.088113,4.828257,14.216836,4.222994
383,15.088096,4.827384,14.215641,4.222558
384,15.086958,4.827348,14.215573,4.222442
385,15.085447,4.827168,14.20915,4.22238
386,15.082325,4.826474,14.209062,4.222258
387,15.079585,4.825987,14.207752,4.222193
388,15.073341,4.824777,14.206948,4.221976
389,15.071609,4.824752,14.20585,4.221857
390,15.070144,4.824591,14.205217,4.221825
391,15.067094,4.824198,14.203349,4.221723
392,15.063666,4.824058,14.202281,4.221532
393,15.061626,4.82404,14.194935,4.221238
394,15.061258,4.823967,14.191808,4.22099
395,15.060175,4.823253,14.189262,4.220672
396,15.059362,4.822978,14.188673,4.220338
397,15.058632,4.822812,14.188447,4.220068
398,15.052038,4.822811,14.185867,4.218999
399,15.050738,4.822302,14.182978,4.218551
400,15.050233,4.822043,14.182406,4.218176
401,15.048824,4.821891,14.181584,4.217236
402,15.047974,4.821789,14.178744,4.216994
403,15.047252,4.821477,14.178572,4.216836
404,15.046976,4.821299,14.176404,4.216709
405,15.046346,4.821151,14.173383,4.216611
406,15.045059,4.82112,14.171858,4.216373
407,15.037239,4.820825,14.167346,4.216214
408,15.036133,4.81981,14.166013,4.216032
409,15.03603,4.81973,14.163907,4.215872
410,15.034463,4.819491,14.162464,4.215225
411,15.033597,4.81908,14.161015,4.214897
412,15.032362,4.817921,14.159682,4.21465
413,15.031289,4.817438,14.15908,4.214564
414,15.030599,4.817376,14.158678,4.214139
