id,michael,chengfang
501,14.879411,185.8858
502,14.879164,208.9442
503,14.878046,230.468
504,14.877082,200.8472
505,14.8761,223.7595
506,14.876,173.3737
507,14.875443,164.0725
508,14.870719,162.9993
509,14.86987,209.7127
510,14.869783,208.2124
511,14.869755,173.0069
512,14.867933,251.5624
513,14.867414,164.8589
514,14.863656,240.4232
515,14.863087,223.8212
516,14.861786,153.5781
517,14.861245,181.3979
518,14.861021,209.9343
519,14.860565,183.2015
520,14.856359,175.6491
521,14.855428,169.4013
522,14.853583,166.0588
523,14.852979,180.3442
524,14.852042,203.2755
525,14.851111,191.8498
526,14.850766,308.0918
527,14.849686,209.3384
528,14.846377,195.2805
529,14.84615,168.1808
530,14.841904,216.5065
531,14.841067,175.1029
532,14.839344,161.7885
533,14.838819,180.4944
534,14.837909,183.5534
535,14.837712,234.4549
536,14.836604,242.0873
537,14.832906,174.1812
538,14.831916,198.5946
539,14.829706,205.3598
540,14.822119,226.5767
541,14.821213,217.0428
542,14.820582,238.3505
543,14.820428,224.5497
544,14.818618,206.109
545,14.817974,160.4563
546,14.813478,203.9082
547,14.812841,162.7564
548,14.811154,164.3118
549,14.810371,198.4902
550,14.807388,190.0924
551,14.807375,181.6848
552,14.807048,197.6987
553,14.806627,201.4869
554,14.805431,200.6382
555,14.804634,222.7905
556,14.80343,215.8318
557,14.802787,261.4439
558,14.801929,190.3793
559,14.801483,239.1679
560,14.798518,198.6284
561,14.798388,216.3919
562,14.797765,181.2318
563,14.796677,236.7081
564,14.787559,225.4285
565,14.786472,200.4743
566,14.784773,185.5743
567,14.782652,201.3454
568,14.782178,208.8924
569,14.781925,196.4968
570,14.781888,204.8199
571,14.78076,154.7755
572,14.77869,164.7013
573,14.778171,170.9289
574,14.776562,198.3944
575,14.770697,175.4771
576,14.770341,201.0593
577,14.769971,210.5006
578,14.769572,198.667
579,14.768682,197.8643
580,14.765534,257.2352
581,14.764626,146.1063
582,14.763714,208.2541
583,14.763401,159.9425
584,14.758782,201.7842
585,14.756691,151.8472
586,14.756517,237.0552
587,14.755109,223.5406
588,14.754065,179.9759
589,14.751853,157.3181
590,14.751683,211.7446
